year,month,dow,flights,delayed15,arr_delay_sum,arr_delay_n
2016,6,0,67055,12549,363589.0,66262
2016,6,1,66239,16140,787232.0,64697
2016,6,2,82752,15421,366113.0,81646
2016,6,3,83913,20751,953905.0,82414
2016,6,4,67070,13404,409370.0,66469
2016,6,5,56236,8942,100339.0,55902
2016,6,6,64372,13154,460282.0,63526
2016,7,0,64712,13329,552556.0,63236
2016,7,1,67158,13889,476065.0,66204
2016,7,2,67429,16363,840730.0,65728
2016,7,3,67717,18393,1084256.0,65125
2016,7,4,84935,21867,1160109.0,82558
2016,7,5,71841,14628,554923.0,70621
2016,7,6,78665,15132,432035.0,77726
2016,8,0,83136,19244,1025012.0,81268
2016,8,1,81291,15698,580833.0,79720
2016,8,2,82178,14666,338996.0,81137
2016,8,3,66676,14818,529061.0,66043
2016,8,4,66872,14822,635900.0,65330
2016,8,5,54725,11175,393009.0,53774
2016,8,6,63469,12998,423483.0,62693
2016,9,0,63402,8964,33521.0,63110
2016,9,1,61955,6664,-143251.0,61711
2016,9,2,62463,9426,127962.0,61855
2016,9,3,80059,13366,237187.0,79634
2016,9,4,80204,12297,158263.0,79844
2016,9,5,48531,4752,-176146.0,48391
2016,9,6,58264,8217,-11627.0,58013
2016,10,0,79157,9759,-89922.0,78788
2016,10,1,62309,6710,-173502.0,62043
2016,10,2,63424,6924,-165357.0,63223
2016,10,3,64635,10493,149497.0,63392
2016,10,4,64674,11361,251418.0,62932
2016,10,5,62099,6005,-229998.0,61383
2016,10,6,76328,12218,153593.0,75725
2016,11,0,62596,9718,33241.0,62343
2016,11,1,76051,9765,-141805.0,75709
2016,11,2,78613,10386,-141068.0,78176
2016,11,3,57820,6858,-174085.0,57567
2016,11,4,60715,8039,-80767.0,60453
2016,11,5,53073,5256,-268975.0,52882
2016,11,6,62070,8849,-61997.0,61781
2016,12,0,62226,16364,663867.0,61350
2016,12,1,61110,11900,258761.0,60648
2016,12,2,62144,11206,218430.0,61591
2016,12,3,78668,17706,587597.0,77781
2016,12,4,78889,17548,639335.0,77626
2016,12,5,61470,13484,722965.0,59358
2016,12,6,56442,15385,827489.0,53875
2017,1,0,77024,20327,820328.0,75293
2017,1,1,73714,13827,270524.0,72290
2017,1,2,59306,10806,142592.0,58500
2017,1,3,61154,13192,295205.0,60525
2017,1,4,61396,12757,296420.0,59902
2017,1,5,47480,9698,358247.0,45319
2017,1,6,69943,17092,874188.0,67816
2017,2,0,62188,10721,180195.0,61008
2017,2,1,59596,7902,-80503.0,58922
2017,2,2,60224,9247,-2489.0,59552
2017,2,3,62271,10462,91088.0,59593
2017,2,4,62604,11864,233670.0,61549
2017,2,5,48240,7274,-7201.0,47896
2017,2,6,55394,6794,-137519.0,54705
2017,3,0,65220,13135,408869.0,63464
2017,3,1,63382,10294,221784.0,58906
2017,3,2,79856,14158,267266.0,78461
2017,3,3,81636,14941,321861.0,81104
2017,3,4,81862,17292,612149.0,81170
2017,3,5,54160,7512,-2453.0,53948
2017,3,6,62481,11306,233952.0,62101
2017,4,0,65410,14018,638569.0,64582
2017,4,1,63543,10910,212008.0,63104
2017,4,2,64023,12158,463651.0,62469
2017,4,3,65336,16000,890425.0,63092
2017,4,4,65495,13493,533223.0,64122
2017,4,5,66765,10319,173438.0,65726
2017,4,6,77757,15245,456910.0,76881
2017,5,0,81147,15955,480694.0,80391
2017,5,1,80616,13786,219694.0,80047
2017,5,2,80990,16348,505871.0,80185
2017,5,3,65777,15756,710386.0,64732
2017,5,4,65980,16090,686545.0,65183
2017,5,5,52075,8568,112286.0,51579
2017,5,6,59898,10177,187922.0,59384
2017,6,0,67935,16502,827083.0,66495
2017,6,1,67206,15914,704639.0,66293
2017,6,2,67401,15092,654159.0,66205
2017,6,3,84673,19164,685606.0,83839
2017,6,4,85039,20457,916894.0,83917
2017,6,5,56611,10016,214735.0,56045
2017,6,6,65401,13574,449887.0,64787
2017,7,0,83391,19396,863759.0,81970
2017,7,1,65435,12318,300183.0,64813
2017,7,2,68092,14475,565068.0,66823
2017,7,3,68492,15507,573340.0,67612
2017,7,4,68633,18383,973661.0,67372
2017,7,5,73314,15314,545675.0,72327
2017,7,6,81713,14688,340479.0,80842
2017,8,0,67839,15695,629144.0,65942
2017,8,1,83244,14518,319096.0,81508
2017,8,2,83967,14322,330323.0,81729
2017,8,3,84793,20304,789390.0,82614
2017,8,4,68313,17856,822846.0,66741
2017,8,5,56960,10007,196510.0,55828
2017,8,6,65335,12007,246694.0,63801
2017,9,0,65094,8419,35717.0,61040
2017,9,1,62783,7865,-25174.0,60396
2017,9,2,62684,8572,-26102.0,61312
2017,9,3,64783,10728,163815.0,63724
2017,9,4,81411,12448,140108.0,79377
2017,9,5,62668,4534,-375226.0,60221
2017,9,6,59304,6348,-159048.0,56523
2017,10,0,80995,14007,325109.0,80323
2017,10,1,76972,9410,-69228.0,76195
2017,10,2,63569,7488,-90878.0,63109
2017,10,3,65562,9550,136088.0,65087
2017,10,4,65410,10414,142805.0,65001
2017,10,5,50414,5940,-53388.0,49957
2017,10,6,76875,12218,170656.0,76080
2017,11,0,63506,7544,-173321.0,63335
2017,11,1,61496,5346,-374319.0,61332
2017,11,2,78308,7233,-400627.0,78024
2017,11,3,73776,7833,-293287.0,73488
2017,11,4,60556,8472,-13943.0,60167
2017,11,5,54078,5223,-281187.0,53841
2017,11,6,62442,9647,98971.0,61982
2017,12,0,60023,9113,38363.0,59150
2017,12,1,61512,11575,156529.0,61160
2017,12,2,62434,11339,199274.0,62087
2017,12,3,63512,12284,266716.0,63069
2017,12,4,79744,16014,503980.0,77986
2017,12,5,66647,14444,401918.0,65590
2017,12,6,70333,10533,75232.0,68850
2018,1,0,94918,20722,673256.0,92502
2018,1,1,93005,17308,308140.0,90272
2018,1,2,94452,15916,243225.0,91173
2018,1,3,77505,11360,49730.0,72250
2018,1,4,77929,14057,394798.0,75146
2018,1,5,60416,7327,-155428.0,59629
2018,1,6,71893,11070,48495.0,70526
2018,2,0,78668,14707,258779.0,77423
2018,2,1,75606,11385,-5465.0,74210
2018,2,2,76083,14946,285167.0,74241
2018,2,3,78704,14438,208962.0,77366
2018,2,4,79242,16154,437045.0,77220
2018,2,5,61365,10235,91860.0,60527
2018,2,6,71063,15426,602532.0,69105
2018,3,0,81992,13354,152504.0,80966
2018,3,1,80173,13570,198481.0,76979
2018,3,2,81033,12424,195148.0,73703
2018,3,3,102423,19806,504606.0,100357
2018,3,4,102858,17203,311299.0,99134
2018,3,5,84777,11025,-146425.0,83898
2018,3,6,78731,11362,-10289.0,78292
2018,4,0,103587,21195,730987.0,101791
2018,4,1,79844,14882,358682.0,78871
2018,4,2,80962,13091,230289.0,79701
2018,4,3,82925,12385,59484.0,82542
2018,4,4,83116,15943,443543.0,82150
2018,4,5,66441,9410,-2028.0,65298
2018,4,6,99171,16899,299925.0,97872
2018,5,0,82472,16218,530995.0,81103
2018,5,1,100892,17011,414826.0,98884
2018,5,2,102118,20517,695823.0,100223
2018,5,3,104473,25370,1148718.0,102562
2018,5,4,83779,15413,360754.0,83130
2018,5,5,66137,8896,-31445.0,65713
2018,5,6,76658,14968,428371.0,75695
2018,6,0,86442,18454,735084.0,84367
2018,6,1,84683,17003,649947.0,81894
2018,6,2,85398,16751,463586.0,84120
2018,6,3,86909,20451,1001525.0,85086
2018,6,4,108348,24389,975218.0,106325
2018,6,5,91046,17834,511506.0,89862
2018,6,6,83367,19223,872262.0,81526
2018,7,0,107548,25587,1196958.0,104915
2018,7,1,104133,23813,1150776.0,100814
2018,7,2,82039,16252,432309.0,80915
2018,7,3,85493,18728,691545.0,84136
2018,7,4,86414,20607,965439.0,84119
2018,7,5,74704,13822,289812.0,73995
2018,7,6,104968,23841,1021384.0,102895
2018,8,0,86127,20018,908288.0,84223
2018,8,1,83212,20417,1090015.0,80482
2018,8,2,105674,23125,861823.0,103699
2018,8,3,107657,23606,1044669.0,105502
2018,8,4,107830,25228,1164711.0,104686
2018,8,5,71131,14631,617298.0,69342
2018,8,6,83042,15859,440951.0,81981
2018,9,0,82835,13143,233321.0,81794
2018,9,1,79583,13049,252799.0,78640
2018,9,2,80449,14571,315016.0,79401
2018,9,3,83185,14694,370519.0,81713
2018,9,4,83406,15239,435207.0,81144
2018,9,5,80241,10769,-18411.0,78583
2018,9,6,96050,13497,8926.0,94975
2018,10,0,104466,19036,456029.0,103543
2018,10,1,99331,14729,137341.0,98186
2018,10,2,98170,12444,-92737.0,97425
2018,10,3,84718,15602,455939.0,83465
2018,10,4,84881,16604,430385.0,84216
2018,10,5,65358,9897,115963.0,64763
2018,10,6,79177,13345,221006.0,78736
2018,11,0,82887,17483,691337.0,81193
2018,11,1,79705,17035,524609.0,79157
2018,11,2,80600,13776,207054.0,80187
2018,11,3,94491,19382,681910.0,92381
2018,11,4,98167,21486,722349.0,97078
2018,11,5,69304,9861,58491.0,69007
2018,11,6,81024,12754,158619.0,79744
2018,12,0,93238,13607,-27409.0,92130
2018,12,1,72911,8369,-250207.0,72539
2018,12,2,79814,11706,47639.0,78659
2018,12,3,82381,20943,778086.0,80991
2018,12,4,82608,22689,986326.0,81540
2018,12,5,85225,15233,206419.0,84435
2018,12,6,97665,16135,218832.0,95443
