year,month,OP_CARRIER,flights,cancelled,diverted,delayed15,dep_delay_sum,dep_delay_n,arr_delay_sum,arr_delay_n,taxi_out_sum,taxi_in_sum,carrier_min,weather_min,nas_min,security_min,late_aircraft_min
2014,7,HA,6808,5,8,441,-6791.0,6804,-73.0,6795,72375.0,46743.0,12599.0,231.0,304.0,49.0,5546.0
2014,7,MQ,34024,1262,75,7327,239252.0,32835,242177.0,32687,502406.0,271375.0,107418.0,20314.0,99259.0,514.0,135948.0
2014,7,OO,55556,1369,128,11190,476717.0,54242,406199.0,54059,893803.0,370120.0,196195.0,13402.0,119799.0,781.0,302946.0
2014,7,UA,43996,567,163,10298,678361.0,43482,387031.0,43266,793362.0,349241.0,186383.0,35041.0,159871.0,75.0,260953.0
2014,7,US,36009,664,98,7629,311485.0,35428,245792.0,35247,664004.0,271977.0,148307.0,28591.0,130211.0,1404.0,117051.0
2014,7,VX,5085,6,10,962,48349.0,5080,24039.0,5069,82581.0,44002.0,8011.0,3359.0,28832.0,176.0,15016.0
2014,7,WN,105427,1006,249,31020,1911711.0,104429,1464314.0,104172,1196689.0,628736.0,525955.0,71162.0,182581.0,583.0,955063.0
2014,8,AA,46166,468,235,11688,593317.0,45710,525871.0,45463,758635.0,427237.0,213719.0,54939.0,152711.0,204.0,296093.0
2014,8,AS,15134,66,34,2345,41975.0,15075,33262.0,15034,219289.0,89975.0,31725.0,4530.0,29049.0,743.0,38597.0
2014,8,B6,22339,140,39,4868,185536.0,22209,113913.0,22160,405625.0,134505.0,78264.0,8056.0,65511.0,1541.0,92568.0
2014,8,DL,72891,297,183,10573,570478.0,72603,153568.0,72411,1280924.0,536348.0,262072.0,58285.0,168183.0,332.0,184769.0
2014,8,EV,59147,1210,195,13605,724222.0,57983,566144.0,57742,928958.0,412822.0,274068.0,20207.0,217936.0,0.0,375725.0
2014,8,F9,8045,26,19,1767,84455.0,8020,95300.0,8000,110445.0,60199.0,24103.0,1472.0,42303.0,0.0,48126.0
2014,8,FL,6326,34,31,964,56635.0,6293,10158.0,6261,83762.0,54119.0,15191.0,3569.0,14026.0,0.0,27856.0
2014,8,HA,6811,30,8,369,-8546.0,6781,-2893.0,6773,70346.0,46048.0,15358.0,348.0,139.0,23.0,4543.0
2014,8,MQ,33241,1250,85,8439,325360.0,32055,361377.0,31906,517360.0,277305.0,104131.0,33620.0,152957.0,380.0,182727.0
2014,8,OO,55421,1321,145,11312,487553.0,54176,449053.0,53955,904741.0,370706.0,184973.0,15732.0,141435.0,848.0,324997.0
2014,8,UA,42833,420,131,9395,560478.0,42442,296953.0,42282,761570.0,343723.0,161576.0,26036.0,143038.0,0.0,221840.0
2014,8,US,34864,256,54,5722,160231.0,34630,77135.0,34554,636177.0,262103.0,101009.0,11872.0,85252.0,1916.0,76995.0
2014,8,VX,4889,3,1,765,27261.0,4886,5486.0,4885,74480.0,41844.0,8616.0,2485.0,13609.0,96.0,10962.0
2014,8,WN,99384,428,265,23894,1327616.0,98963,885652.0,98691,1150676.0,592352.0,357277.0,50429.0,155578.0,1353.0,667862.0
2014,9,AA,43271,270,98,7810,284515.0,43015,191926.0,42903,700927.0,372315.0,150424.0,6055.0,115132.0,578.0,149454.0
2014,9,AS,13297,39,37,1632,14151.0,13258,1744.0,13221,190460.0,80181.0,25288.0,2469.0,23339.0,257.0,27266.0
2014,9,B6,19079,64,44,2548,31821.0,19022,-31647.0,18971,329779.0,111768.0,35791.0,3375.0,48959.0,378.0,35650.0
2014,9,DL,67051,129,96,9400,315234.0,66929,65820.0,66826,1186319.0,498095.0,177524.0,19369.0,143929.0,390.0,121294.0
2014,9,EV,54964,1698,170,12187,569481.0,53318,483839.0,53096,857165.0,385594.0,229981.0,13588.0,210994.0,0.0,308880.0
2014,9,F9,7857,28,9,1462,61924.0,7831,67652.0,7820,103965.0,58788.0,19558.0,637.0,34067.0,0.0,42183.0
2014,9,FL,4863,53,10,617,20434.0,4813,-10348.0,4800,64629.0,40023.0,7859.0,1456.0,10269.0,0.0,10637.0
2014,9,HA,6179,7,8,555,5792.0,6173,12844.0,6164,66513.0,41579.0,19791.0,91.0,5745.0,0.0,5945.0
2014,9,MQ,31269,1550,55,6780,222858.0,29793,209824.0,29664,472040.0,236277.0,91926.0,12487.0,107217.0,465.0,128535.0
2014,9,OO,49135,1151,96,8057,276813.0,48043,224562.0,47888,792613.0,320093.0,125661.0,8995.0,118639.0,494.0,203714.0
2014,9,UA,40219,448,79,7238,361602.0,39791,125576.0,39692,693035.0,306852.0,112925.0,13516.0,139133.0,47.0,145887.0
2014,9,US,33030,189,56,4740,89678.0,32869,22180.0,32785,607424.0,243345.0,84974.0,8682.0,78630.0,2048.0,50711.0
2014,9,VX,4554,8,4,711,27026.0,4547,7219.0,4542,65552.0,36756.0,7041.0,3021.0,16558.0,128.0,11257.0
2014,9,WN,94721,1142,226,17441,905470.0,93599,476749.0,93353,1085162.0,533222.0,244747.0,33667.0,148372.0,1626.0,452012.0
2014,10,AA,45113,391,116,10288,467072.0,44746,422568.0,44606,731967.0,408893.0,171901.0,26379.0,187223.0,1093.0,237281.0
2014,10,AS,13398,40,29,1646,4817.0,13363,-16125.0,13329,193904.0,78922.0,19984.0,1906.0,25100.0,474.0,21385.0
2014,10,B6,20113,74,35,3169,77501.0,20041,11824.0,20004,344191.0,118025.0,42679.0,4626.0,68406.0,363.0,49675.0
2014,10,DL,70676,17,60,9236,316184.0,70663,-16519.0,70599,1246529.0,503118.0,164752.0,12680.0,137240.0,110.0,133996.0
2014,10,EV,56533,1038,141,12747,612471.0,55531,539614.0,55354,893640.0,409482.0,239616.0,12423.0,234557.0,0.0,338683.0
2014,10,F9,8211,27,10,1337,41885.0,8184,39183.0,8174,106735.0,62394.0,17388.0,360.0,25648.0,0.0,39021.0
2014,10,FL,4661,13,1,590,17226.0,4648,-11492.0,4647,61106.0,37577.0,6409.0,96.0,7560.0,0.0,13008.0
2014,10,HA,6329,17,6,626,2920.0,6312,15995.0,6306,71423.0,42670.0,15911.0,59.0,344.0,21.0,8141.0
